Variables ->,l_cpistar,l_ystar_gap,istar,rstar_tnd,l_foodstar,l_enerstar,l_rp_foodstar_gap,l_rp_enerstar_gap,d4l_cpi,dl_cpi_core,dl_cpi_food,d4l_cpi_food,dl_cpi_ener,i,d4l_y,shock_l_inv_gap,shock_l_exp_gap,shock_l_imp_gap,l_s,l_md,gdem_y,grev_y,def_y,tune_l_y_gap,tune_d4l_y
Comments ->,shock_dl_cpistar,shock_l_ystar_gap,shock_istar,shock_rstar_tnd,shock_dl_rp_foodstar_tnd,shock_dl_rp_enerstar_tnd,shock_l_rp_foodstar_gap,shock_l_rp_enerstar_gap,shock_dl_cpi_core,shock_dl_cpi_core,shock_dl_cpi_food,shock_dl_cpi_food,shock_dl_cpi_ener,shock_i,shock_l_cons_gap,,,,shock_l_s,shock_dl_rmd,shock_gdem_y_discr,shock_grev_y_discr,shock_oexp_y_discr,,
2019Q4,,,,,,,,,,,,,,,,,,,,,,,,1,
2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,
2020Q2,,,,,,,,,,,,,,,,,,,,,,,,,
2020Q3,,,,,,,,,,,,,,,,,,,,,,,,,
2020Q4,,,,,,,,,,,,,,,,,,,,,,,,,
2021Q1,,,,,,,,,,,,,,,,,,,,,,,,,
2021Q2,,,,,,,,,,,,,,,,,,,,,,,,,
2021Q3,,,,,,,,,,,,,,,,,,,,,,,,,
2021Q4,,,,,,,,,,,,,,,,,,,,,,,,,
2022Q1,,,,,,,,,,,,,,,,,,,,,,,,,
2022Q2,,,,,,,,,,,,,,,,,,,,,,,,,
2022Q3,,,,,,,,,,,,,,,,,,,,,,,,,
2022Q4,,,,,,,,,,,,,,,,,,,,,,,,,
2023Q1,,,,,,,,,,,,,,,,,,,,,,,,,
2023Q2,41.5020025,-0.0146547273,4.48910394,-1.055917,500.806502,452.668636,8.97292938,13.7162911,,3.88594703,17.0945991,,-6.01341015,7.44788585,4.97420919,-0.057,-0.12,-0.007,703.632438,830.855754,17.3953307,17.479329,13.1028262,,4.97420919
2023Q3,42.6168319,0.0793810086,4.58466843,-0.925529,498.884214,447.058267,5.49820212,6.28020608,12.4868982,,,25.4642218,,7.4365082,4.2101176,,,,707.313835,,,,,,4.2101176
2023Q4,43.632285,0.153563781,4.68014168,-0.802795,497.298563,443.528989,2.62325803,1.23913406,,,,,,,,,,,,,,,,,
2024Q1,44.3981699,0.204259042,4.64037224,-0.696737,497.756516,441.493873,2.19163786,-1.8716912,,,,,,,,,,,,,,,,,
2024Q2,45.1392808,0.244186512,4.32164602,-0.604255,498.069383,440.587762,1.77460502,-3.67102568,,,,,,,,,,,,,,,,,
2024Q3,45.8643439,0.275686519,4.2018613,-0.522864,496.147094,440.512515,-0.743261392,-4.49337349,,,,,,,,,,,,,,,,,
2024Q4,46.5790816,0.300946775,4.2018613,-0.450567,494.561444,440.929031,-2.81362244,-4.70889679,,,,,,,,,,,,,,,,,
2025Q1,47.2501268,0.332387559,3.96186054,-0.385762,496.650421,441.5154,-1.08239128,-4.62867024,,,,,,,,,,,,,,,,,
2025Q2,47.9264723,0.354599009,3.48817207,-0.327158,496.963288,442.105372,-1.06480878,-4.48752714,,,,,,,,,,,,,,,,,
2025Q3,48.6071311,0.369200697,3.05265122,-0.273718,495.040999,442.699536,-3.23376717,-4.30058744,,,,,,,,,,,,,,,,,
2025Q4,49.2901267,0.377590575,2.85037705,-0.224607,493.455349,443.297612,-5.02966366,-4.08004633,,,,,,,,,,,,,,,,,
2026Q1,49.983211,0.376419761,2.85037705,-0.179149,496.450221,443.898786,-2.22851436,-3.84567292,,,,,,,,,,,,,,,,,
2026Q2,50.675821,0.374051805,2.85037705,-0.136798,496.763088,444.501972,-2.09128657,-3.59664405,,,,,,,,,,,,,,,,,
2026Q3,51.3642935,0.37118265,2.85037705,-0.097114,494.840799,445.106132,-4.17507897,-3.33658443,,,,,,,,,,,,,,,,,
2026Q4,52.045216,0.368274457,2.85037705,-0.059736,493.255149,445.710409,-5.91098826,-3.06694183,,,,,,,,,,,,,,,,,
