Variables ->,RR_BAR_US,OIL_US
Comments ->,,
Class[Size] ->,Series[116-by-1],Series[116-by-1]
1999Q1,2.574667,11.243333
1999Q2,2.587861,15.413333
1999Q3,2.741567,20.546667
1999Q4,2.951158,24.043333
2000Q1,3.209393,26.843333
2000Q2,3.342084,26.54
2000Q3,3.37569,30.443333
2000Q4,3.315637,29.526667
2001Q1,3.104097,25.816667
2001Q2,3.037736,27.27
2001Q3,3.004439,25.246667
2001Q4,2.944816,19.34
2002Q1,2.975731,21.156667
2002Q2,3.028415,25.07
2002Q3,2.809255,26.923333
2002Q4,2.542698,26.75
2003Q1,2.263954,31.426667
2003Q2,1.956183,26.126667
2003Q3,1.804331,28.443333
2003Q4,1.720587,29.413333
2004Q1,1.595742,31.95
2004Q2,1.642746,35.49
2004Q3,1.587268,41.593333
2004Q4,1.460366,44.156667
2005Q1,1.349333,47.828167
2005Q2,1.215128,52.836169
2005Q3,1.091801,61.864245
2005Q4,1.085403,57.771053
2006Q1,1.114713,62.602202
2006Q2,1.314156,70.35643
2006Q3,1.477699,70.60058
2006Q4,1.514649,60.664286
2007Q1,1.578941,58.718072
2007Q2,1.745918,68.676018
2007Q3,1.954442,74.674735
2007Q4,2.047989,88.727388
2008Q1,2.0628,96.470518
2008Q2,2.208871,122.951573
2008Q3,2.372136,116.861991
2008Q4,2.435839,57.067507
2009Q1,2.406198,45.664348
2009Q2,2.394646,59.789776
2009Q3,2.365817,68.984944
2009Q4,2.255121,75.59115
2010Q1,2.196126,77.259324
2010Q2,2.065939,79.4436
2010Q3,1.7813,76.962879
2010Q4,1.57763,87.31684
2011Q1,1.619915,105.203627
2011Q2,1.649358,117.185657
2011Q3,1.493611,112.195283
2011Q4,1.299053,109.003889
2012Q1,1.114118,118.290606
2012Q2,0.930461,108.947502
2012Q3,0.706722,109.478632
2012Q4,0.519684,110.074964
2013Q1,0.376074,112.635899
2013Q2,0.301848,103.347507
2013Q3,0.390442,109.71027
2013Q4,0.457166,109.366869
2014Q1,0.481545,107.952191
2014Q2,0.38995,109.787229
2014Q3,0.218466,103.383644
2014Q4,-0.026059,76.937783
2015Q1,-0.353829,55.278636
2015Q2,-0.581109,63.405281
2015Q3,-0.683362,51.169869
2015Q4,-0.764772,44.695036
2016Q1,-0.873227,35.175293
2016Q2,-1.010008,46.971205
2016Q3,-1.149221,46.978116
2016Q4,-1.064948,51.131176
2017Q1,-0.9,54.681732
2017Q2,-0.814255,50.955524
2017Q3,-0.806853,52.177778
2017Q4,-0.860963,61.554048
2018Q1,-0.889938,67.198006
2018Q2,-0.879644,74.903444
2018Q3,-0.813861,75.967686
2018Q4,-0.702764,67.970028
2019Q1,-0.758072,63.806663
2019Q2,-0.84999,68.328378
2019Q3,-0.733854,62.001248
2019Q4,-0.769452,62.535869
2020Q1,-0.899839,50.993501
2020Q2,-0.881031,33.345483
2020Q3,-1,43.371937
2020Q4,-1.2,45.256291
2021Q1,-1.256211,61.045828
2021Q2,-1.373613,69.008167
2021Q3,-1.474857,73.227879
2021Q4,-1.55,79.799883
2022Q1,-1.596237,97.378975
2022Q2,-1.547634,111.885036
2022Q3,-1.451307,97.811863
2022Q4,-1.331849,100
2023Q1,-1.195159,100
2023Q2,-1.055917,92.451701
2023Q3,-0.925529,87.407638
2023Q4,-0.802795,84.376581
2024Q1,-0.696737,82.676775
2024Q2,-0.604255,81.931016
2024Q3,-0.522864,81.869388
2024Q4,-0.450567,82.211098
2025Q1,-0.385762,82.694575
2025Q2,-0.327158,83.183892
2025Q3,-0.273718,83.679612
2025Q4,-0.224607,84.181579
2026Q1,-0.179149,84.689181
2026Q2,-0.136798,85.201558
2026Q3,-0.097114,85.71787
2026Q4,-0.059736,86.237411
2027Q1,-0.024372,86.75962
2027Q2,0.009217,87.284075
2027Q3,0.041226,87.810488
2027Q4,0.071818,88.33867
